Ref,Val,Package,PosX,PosY,Rot,Side
"J1","5015","FP-5015-MFG",132.080000,-71.120000,180.000000,bottom
"R1","KTR18EZPJ102","FP-KTR18-IPC_A",133.581250,-60.960000,0.000000,bottom
"R2","KTR18EZPJ102","FP-KTR18-IPC_A",125.498760,-60.960000,0.000000,bottom
