Designator,Mid X,Mid Y,Rotation,Layer
C1,109.22,-46.79609,-90,top
C2,93.98,-46.79609,-90,top
C3,86.36,-46.76003,90,top
C4,101.6,-46.76003,90,top
C5,116.84,-62.00003,90,top
C6,109.22,-62.46002,90,top
C7,101.6,-63.5,-90,top
C8,93.98,-63.5,-90,top
